Name	Glottocode	ID	Longitude	Latitude
Ambalo	emba1238	Ambalo
Beketan	buki1248	Beketan
Indonesian/Malay	stan1327	Indonesian
Molbog	molb1237	Molbog
PKM		PKM		
Segai Basap	sega1243	SegaiBasap
Tabalar Basap	duma1254	TabalarBasap
Taman	tama1335	Taman
Aoheng	aohe1238	Aoheng	114.24	1.03
Apo Kayan Kayan	kaya1325	Apo_Kayan_Kayan	115.368	1.799
Badeng	main1275	Badeng	115.22	3.17
Bahau Saq	baha1257	Bahau_Saq	115.645	-0.075
Bakumpai	baku1263	Bakumpai	114.825	-1.739
Baram Kayan	bara1370	Baram_Kayan	114.595	3.328
Basap (Lebo)	basa1286	Basap_Lebo_	117.573	0.911
Begak	bega1240	Begak	118.663	5.07
Bekati	beka1241	Bekati	109.466	0.939
Benuaq	benu1246	Benuaq	115.762	-0.146
Benyadu	beny1237	Benyadu	109.626	0.59
Berawan (jeegan)	east2486	Berawan_jeegan_	114.115	3.585
Berawan (Terawan)	west2564	Berawan_Terawan_	114.632	3.972
Bonggi	bong1289	Bonggi	117.118	7.217
BrDusun	brun1242	BrDusun	114.505	4.591
Buket	buka1261	Buket	112.568	1.417
Bulungan	bolo1268	Bulungan	117.392	2.821
Burusu	buru1304	Burusu	116.628	3.556
Busang	maha1298	Busang	114.539	0.775
Dalat Melanau	dala1239	Dalat_Melanau	111.937	2.772
Dumpas	dump1242	Dumpas	117.42	5.93
Dusun	dusu1267	Dusun	114.965	-2.204
Gaai	sega1244	Gaai	116.703	2.197
Gah	umal1239	Gah	114.821	3.239
Golik	sout2922	Golik	110.582	0.52
Hliboi Bidayuh	baub1235	Hliboi_Bidayuh	110.005	1.257
Hovongan	hovo1239	Hovongan	113.528	0.739
Idaan	idaa1241	Idaan	118.387	5.174
Jangkang	jang1257	Jangkang	110.908	0.539
Kadazan Kimanis	cent2100	Kadazan_Kimanis	115.909	5.623
Kadorih	kado1243	Kadorih	114.567	-0.482
Kanowit	kano1244	Kanowit	112.162	2.09
Kapuas	mela1269	Kapuas	114.456	-1.913
Kejaman	kaja1250	Kejaman	113.836	2.74
Kelabit	bari1288	Kelabit	115.465	3.73
Kelai	kela1259	Kelai	116.621	1.904
Kendayan 2	kend1254	Kendayan_2	109.737	0.678
Keninjal	keni1248	Keninjal	111.652	-0.665
Kereho	kere1285	Kereho	113.359	0.874
Ketapang	mala1538	Ketapang	110.488	-2.051
Kiput	kipu1237	Kiput	114.436	3.972
Laang	high1288	Laang	114.851	3.042
Lahanan	laha1253	Lahanan	113.836	2.741
LBisaya	brun1245	LBisaya	114.972	4.789
Lingkabau	ling1266	Lingkabau	117.32	6.29
Lobu Lanas	lana1236	Lobu_Lanas	116.58	5.39
Long Gelat	long1405	Long_Gelat	115.007	0.917
Lotud	lotu1250	Lotud	116.365	6.274
Lun-Dayeh	lunb1237	Lun-Dayeh	115.679	3.913
Maanyan	maan1238	Maanyan	114.905	-0.926
Miri	miri1267	Miri	114.041	4.417
Modang woeg helag	keli1252	Modang_woeg_helag	116.831	0.915
Mpraa	mera1243	Mpraa	116.467	3.148
Mualang	mual1241	Mualang	110.924	0.002
Narum	naro1251	Narum	114.041	4.417
Ngaju	ngaj1237	Ngaju	113.632	-1.278
Ngorek	long1402	Ngorek	115.127	3.112
Pangkodan Sanggau	sang1339	Pangkodan_Sanggau	110.591	0.114
Papar	papa1268	Papar	115.58	5.57
Paser	pasi1257	Paser	116.181	-1.832
Pawe	umat1247	Pawe	114.813	3.39
Penan Beku	west2563	Penan_Beku	114.836	3.345
Penan Jekitan	pena1268	Penan_Jekitan	114.93	2.858
Penan Mubui	east2485	Penan_Mubui	115.043	3.176
Punan Aput	puna1267	Punan_Aput	116.049	1.758
Punan Bah	puna1276	Punan_Bah	113.333	2.371
Punan Lisum	buka1263	Punan_Lisum	116.049	1.758
Punan Tuvu'	puna1266	Punan_Tuvu	116.48	3.247
Ribun	ribu1241	Ribun	110.441	0.206
Rungus	rung1259	Rungus	116.7	6.84
Sawa	main1275	Sawa	114.82	3.061
SBisaya	saba1267	SBisaya	115.553	5.408
Seberuang	sebe1242	Seberuang	111.14	-0.243
Sebop (old)	sebo1238	Sebop_old_	114.115	3.448
Seguliud	abai1240	Seguliud	118.031	5.59
Sekapan	seka1248	Sekapan	113.75	2.65
Seputan	sepu1237	Seputan	114.431	0.682
Sungkung	bida1239	Sungkung	110.009	1.075
Tatana	tata1257	Tatana	115.55	5.5
Tau	umat1246	Tau	115.074	3.058
Tawoyan	tawo1243	Tawoyan	115.863	-1.855
Tidung Sumbol	tidu1239	Tidung_Sumbol	117.559	5.845
Timugon Murut	timu1262	Timugon_Murut	115.83	5.18
Tunjung	tunj1244	Tunjung	115.778	-0.181
Ukit	ukit1237	Ukit	114.16	2.216
Upper Kapuas Iban	iban1264	Upper_Kapuas_Iban	112.597	1.402
Vo	lowl1270	Vo	114.783	3.299
