NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	above	1741	ABOVE	2
2	aflame			
3	afraid	3033	SCARED	2
4	age	1789	AGE	2
5	alive	1422	BE ALIVE	2
6	and	1577	AND	2
7	answer	1275	ANSWER	2
8	ash	646	ASH	2
9	ask	1309	ASK (INQUIRE)	2
10	aunt	1272	AUNT	2
11	bad	1292	BAD	2
12	bait	2013	BAIT	2
13	bamboo	1927	BAMBOO	2
14	banana	868	BANANA	2
15	banyan	346	BANYAN	2
16	bark	1204	BARK	2
17	barking deer	3152	MUNTJACS	2
18	bathe	138	BATHE	2
19	bear	1820	BEAR	2
20	bee	665	BEE	2
21	between	689	BETWEEN	2
22	big	1202	BIG	2
23	binturong			
24	bird	937	BIRD	2
25	bitter	887	BITTER	2
26	black	163	BLACK	2
27	blood	946	BLOOD	2
28	blowpipe			
29	boar	1348	BOAR (MALE PIG)	2
30	bone	1394	BONE	2
31	brain	1583	BRAIN	2
32	branch	1531	BRANCH	2
33	breast	1402	BREAST	2
34	breathe	1407	BREATHE	2
35	burry			
36	butterfly	1791	BUTTERFLY	2
37	buy	1869	BUY	2
38	calf	1989	CALF	2
39	canoe	1970	CANOE	2
40	capsize			
41	cheek	1730	CHEEK	2
42	chest	1592	CHEST	2
43	chew	321	CHEW	2
44	chicken	1318	CHICKEN	2
45	child	2099	CHILD	2
46	chin	1510	CHIN	2
47	choose	1750	CHOOSE	2
48	cloud	1489	CLOUD	2
49	cockroach	1575	COCKROACH	2
50	coconut	970	COCONUT	2
51	come	1446	COME	2
52	coucal			
53	crab	2348	CRAB	2
54	crocodile	1857	CROCODILE	2
55	dart	2587	DARTS	2
56	day	1225	DAY (NOT NIGHT)	2
57	death	910	DEATH	2
58	deer	1936	DEER	2
59	derris root			
60	die	1494	DIE	2
61	dog	2009	DOG	2
62	door	1567	DOOR	2
63	downriver			
#<<<				
64	dream	2455	DREAMING OR DREAM	2
64	dream	1920	DREAM (SOMETHING)	2
64	dream	2374	DREAM	2
#>>>				
65	drink	1401	DRINK	2
66	dull	379	BLUNT	2
67	durian			
68	ear	1247	EAR	2
69	earthworm	2350	EARTHWORM	2
70	eat	1336	EAT	2
71	edge	863	EDGE	2
72	egg	744	EGG	2
73	egret	758	HERON	2
74	eight	1705	EIGHT	2
75	elbow	981	ELBOW	2
76	empty	1624	EMPTY	2
77	enter	749	ENTER	2
78	excrement	675	FAECES (EXCREMENT)	2
79	eye	1248	EYE	2
80	face	1560	FACE	2
81	.false			
82	far	1406	FAR	2
83	fast	1631	FAST	2
84	fat	1279	FAT (OBESE)	2
85	fathom	81	FATHOM	2
86	fat (n)	323	FAT (ORGANIC SUBSTANCE)	2
87	fell	355	CUT DOWN	2
88	fern	3802	FERN	2
89	field hut			
90	fill	2006	FILL	2
91	fin	213	FIN	2
92	five	493	FIVE	2
93	four	1500	FOUR	2
94	house	1252	HOUSE	2
95	house post	281	POST	2
96	hungry	1533	BE HUNGRY	2
97	I	1209	I	2
98	insect bat	1793	BAT	2
99	ironwood			
100	island	622	ISLAND	2
101	itchy	149	ITCHY	2
102	knee	1371	KNEE	2
103	knuckle	2824	KNUCKLE	2
104	land	626	LAND	2
105	large mortar			
106	large pestle			
107	laugh	1355	LAUGH	2
108	leaf	628	LEAF	2
109	leak	2253	DRIP (EMIT LIQUID)	2
110	leech	2273	LEECH	2
111	left	244	LEFT	2
112	leopard	1139	LEOPARD	2
113	lie down	215	LIE DOWN	2
114	light weight	1052	LIGHT (WEIGHT)	2
115	lips	478	LIP	2
116	liver	1224	LIVER	2
117	loincloth	1965	LOINCLOTH	2
118	long	1203	LONG	2
119	louse	1392	LOUSE	2
120	man	1554	MAN	2
121	measure	1506	MEASURE	2
122	monkey	1350	MONKEY	2
123	moon	1313	MOON	2
124	mosquito	1509	MOSQUITO	2
125	moss	637	MOSS	2
126	mouse deer			
127	mouth	674	MOUTH	2
128	mushroom	641	MUSHROOM	2
129	name	1405	NAME	2
130	navel	1838	NAVEL	2
131	nest	539	NEST	2
132	new	1231	NEW	2
133	night	1233	NIGHT	2
134	nine	1483	NINE	2
135	ocean	645	OCEAN	2
136	one	1493	ONE	2
137	otter	15	OTTER	2
138	paddle	234	PADDLE	2
139	palm	1181	PALM TREE	2
140	pangolin	2508	PANGOLIN	2
141	person	683	PERSON	2
142	pinky			
143	pluck	2148	PICK	4
144	porcupine	2510	PORCUPINE	2
145	pour	1487	POUR	2
146	pregnant	1123	PREGNANT	2
147	pull	1455	PULL	2
148	pus	1808	PUS	2
149	push	1452	PUSH	2
150	python	1563	PYTHON	2
151	raft	1664	RAFT	2
152	rafter	829	RAFTER	2
#<<<				
153	rain	2108	RAINING OR RAIN	2
153	rain	1253	RAIN (RAINING)	2
153	rain	658	RAIN (PRECIPITATION)	2
#>>>				
154	rambutan			
155	rattan	2497	RATTAN	2
156	red	156	RED	2
157	red leaf monkey			
158	return home	142	RETURN HOME	2
159	rice	926	RICE	2
160	rice grain			
161	right	1019	RIGHT	2
162	river	666	RIVER	2
163	river mouth	1701	RIVER MOUTH	4
164	roof	769	ROOF	2
165	roots	670	ROOT	4
166	rope	1218	ROPE	2
167	sand	671	SAND	2
168	sap	345	SAP	2
169	scale	266	SCALE	2
170	see	1409	SEE	2
171	send	1127	SEND	2
172	seven	1704	SEVEN	2
173	six	1703	SIX	2
174	stone	857	STONE	2
175	stop	2115	CEASE OR FINISH	2
176	stump	241	TREE STUMP	2
177	sugar cane	146	SUGAR CANE	2
178	sun hat			
#<<<				
179	sweat	125	SWEAT (SUBSTANCE)	2
179	sweat	2458	PERSPIRE OR SWEAT	2
#>>>				
180	sweet	717	SWEET	2
181	swim	1439	SWIM	2
182	swollen	1573	SWELL	2
183	tail	1220	TAIL	2
184	take	1749	TAKE	2
185	tall	711	TALL	2
186	ten	1515	TEN	2
187	termite	883	TERMITE	2
188	thick	1244	THICK	2
189	thigh	471	UPPER LEG (THIGH)	2
190	thin	2308	THIN	2
191	thorn	124	THORN	2
192	three	492	THREE	2
#<<<				
193	to lie	215	LIE DOWN	1
193	to lie	601	LIE (MISLEAD)	1
193	to lie	1411	LIE (REST)	1
#>>>				
194	tongue	1205	TONGUE	2
195	tooth	1380	TOOTH	2
196	tree	906	TREE	2
197	true/correct	1725	CORRECT (RIGHT)	4
198	twins	1005	TWINS	2
199	two	1498	TWO	2
200	unripe	1958	UNRIPE	2
201	upriver			
202	vein	1924	VEIN	2
